33.3, -118.3, 56259.42857142857, 7
33.35, -118.4, 76379.0, 5
33.7, -118.35, 139062.57142857142, 7
33.7, -118.3, 75390.83673469388, 49
33.7, -118.25, 46792.446153846155, 65
33.75, -118.4, 145236.5357142857, 28
33.75, -118.35, 135993.73469387754, 49
33.75, -118.3, 77543.7032967033, 91
33.75, -118.25, 41174.561904761904, 105
33.75, -118.2, 34637.78947368421, 57
33.75, -118.15, 40520.31696428572, 224
33.75, -118.1, 79605.19387755102, 98
33.8, -118.35, 89429.06722689075, 119
33.8, -118.3, 69952.48979591837, 98
33.8, -118.25, 67007.88392857143, 112
33.8, -118.2, 60482.87378640777, 103
33.8, -118.15, 70130.47619047618, 84
33.8, -118.1, 90127.2967032967, 91
33.8, -118.05, 67550.22222222222, 63
33.85, -118.4, 127386.28571428571, 49
33.85, -118.35, 90716.44155844155, 154
33.85, -118.3, 60073.420634920636, 126
33.85, -118.25, 58068.15873015873, 63
33.85, -118.2, 48668.561904761904, 105
33.85, -118.15, 48283.32, 175
33.85, -118.1, 61727.79285714286, 140
33.85, -118.05, 76699.22321428571, 112
33.85, -118.0, 89487.17857142857, 28
33.9, -118.4, 103384.45238095238, 42
33.9, -118.35, 48358.50420168067, 119
33.9, -118.3, 44974.72448979592, 196
33.9, -118.25, 36539.02380952381, 168
33.9, -118.2, 39243.724867724864, 189
33.9, -118.15, 51240.857142857145, 168
33.9, -118.1, 61156.4, 105
33.9, -118.05, 58959.13392857143, 112
33.9, -118.0, 71316.0924369748, 119
33.9, -117.95, 79813.78571428571, 28
33.95, -118.45, 88660.16071428571, 56
33.95, -118.4, 86814.16326530612, 98
33.95, -118.35, 55238.72077922078, 154
33.95, -118.3, 41185.22751322751, 189
33.95, -118.25, 31393.185064935064, 308
33.95, -118.2, 36276.318181818184, 308
33.95, -118.15, 38874.61734693877, 196
33.95, -118.1, 61234.28571428572, 84
33.95, -118.05, 58720.0918367347, 98
33.95, -118.0, 68732.23076923077, 91
33.95, -117.95, 96327.31428571428, 35
33.95, -117.9, 75525.57142857143, 49
33.95, -117.85, 78920.75510204081, 49
33.95, -117.8, 94668.23809523809, 21
34.0, -118.8, 124910.71428571429, 7
34.0, -118.5, 116286.85714285714, 42
34.0, -118.45, 78479.00571428571, 175
34.0, -118.4, 69914.03968253969, 252
34.0, -118.35, 51824.06122448979, 147
34.0, -118.3, 37045.56122448979, 294
34.0, -118.25, 26567.503246753247, 308
34.0, -118.2, 34386.24460431655, 139
34.0, -118.15, 38979.94155844156, 154
34.0, -118.1, 48758.53781512605, 119
34.0, -118.05, 59589.57142857143, 70
34.0, -118.0, 81329.71428571429, 42
34.0, -117.95, 60946.47619047619, 84
34.0, -117.9, 61893.892857142855, 112
34.0, -117.85, 84531.14285714286, 70
34.0, -117.8, 90818.97619047618, 42
34.0, -117.75, 74055.88571428572, 35
34.0, -117.7, 52446.142857142855, 14
34.05, -118.85, 131486.57142857142, 7
